	logFC	logCPM	F	PValue	FDR
YLR032W	0.0123137783657676	5.18194068845721	0.0972933769748668	0.802810934408928	0.835781133050764
YLR033W	-0.0692992289844036	6.26669449493994	4.35830078429123	0.121190113646005	0.155246825944225
YLR034C	0.101426176120163	6.27366401363524	7.39049967828725	0.0232739047993795	0.0337447268841969
YLR035C	-0.16218826508566	4.94166939403163	20.6884510456717	0.00160435743748885	0.00269961494338382
YLR035C-A	2.05907296791634	7.09474616401017	3098.89128480979	3.07568275278933e-70	3.99582450966547e-68
YLR036C	-0.297667099377983	4.67512849525696	27.542808505312	1.05713334329577e-06	2.44158649214533e-06
YLR037C	-0.789631929425462	3.93696576381448	153.911737729119	5.26381427646114e-21	3.86178186211902e-20
YLR038C	-0.444315949432988	5.66041217588529	95.7307888457931	1.02587125181418e-15	4.85381876048045e-15
YLR039C	-0.00391210818998083	5.71129471148517	0.00877078097021175	0.932573836615013	0.944232902278165
YLR040C	0.233048876222215	4.28819710085168	20.9624229339995	5.91782742945046e-05	0.000115036071851786
YLR042C	-0.499339323671888	3.39866698528978	63.8120158752447	5.76951989436785e-12	2.02127674501561e-11
YLR043C	-0.252334723024687	8.21380990764894	77.7102625365353	9.64503526343405e-09	2.65195943133927e-08
YLR044C	0.448016091105372	13.5428910363093	56.5322075848342	4.46578855730618e-11	1.46958614476841e-10
YLR045C	-0.105404053193557	6.46474651436409	16.7700332537868	0.0174289620937952	0.0257064824070262
YLR046C	-0.593492262704446	4.65246396435349	264.579742892686	1.50355243399312e-27	1.86034781317085e-26
YLR047C	0.341424303945034	4.35984062535853	49.4999074269379	2.41425065695673e-09	7.02204622051408e-09
YLR048W	0.393130725457023	10.2187770462314	170.221028952148	1.850166063435e-16	9.30454481579086e-16
YLR049C	-0.858313627273654	4.99780170342449	571.243098638499	3.48090856311754e-40	1.02876520377256e-38
YLR050C	-0.843165901342121	6.13278021225262	163.251958711136	9.87016103568013e-22	7.70341980206524e-21
YLR051C	0.26990998424414	5.29094001635443	18.1535681670039	5.10712604983646e-05	0.000100119578895882
YLR052W	0.309963166245897	5.93395397612572	92.3041220864482	1.07686038514033e-11	3.71216216790222e-11
YLR053C	0.456733333017068	2.40934141392887	28.9316816060578	6.14494202304276e-07	1.4498622192847e-06
YLR054C	-0.823679942287246	3.63403503289062	46.0708387446807	1.29014086816796e-09	3.82018919938054e-09
YLR055C	-0.431339387861266	6.98895028858637	99.1936597573933	4.48043111087401e-16	2.19137007116944e-15
YLR056W	0.781777364201329	8.77917841672331	294.656165381124	8.63782806955618e-30	1.28864822587924e-28
YLR057W	-0.361870850944611	5.5228256947978	87.7541868479234	1.98628913733103e-14	8.43192584097776e-14
YLR058C	2.05721675592735	8.66836941666575	314.544457183923	9.27375258474289e-31	1.52588710075084e-29
YLR059C	0.0960148782928362	6.45513223889637	6.52472425332417	0.0305333114677045	0.0433270097412286
YLR060W	0.493223416914286	8.62580277898423	261.78682335887	4.51727776939608e-28	5.83224516976273e-27
YLR061W	0.552493250667077	9.74515877626524	74.1138190480764	2.67161236371403e-13	1.03996096754811e-12
YLR063W	0.769486334438228	2.5626165563029	52.9709785600043	1.36252433065744e-10	4.3350519010101e-10
YLR064W	-0.033501491335611	5.70559245784287	0.45724305088853	0.500693718702662	0.55656435469337
YLR065C	-0.0371518309654139	6.76111809188983	3.23565943711321	0.39644943351779	0.452763828045645
YLR066W	-0.153469202384593	6.58305669694119	16.4132279139026	0.00050935520530864	0.000908563804434977
YLR067C	0.334084931288112	5.00674505736488	33.5601952895545	1.05989611316218e-07	2.6705099643149e-07
YLR068W	0.632494873835751	4.14332622412101	34.9694581388725	6.2980951875506e-08	1.61359579250475e-07
YLR069C	0.325836016156268	6.79387605317399	103.542493460019	1.05587560612366e-13	4.22892760423068e-13
YLR070C	-0.565674074167878	4.92228067859976	115.308908742373	1.1523392548499e-17	6.37620904458205e-17
YLR071C	-0.0113288921428821	6.48778430783305	0.0915179861897318	0.798036746361223	0.831643908808253
YLR072W	-0.343100423621495	6.80918195932959	122.5145240596	4.65531480017985e-15	2.08552752111505e-14
YLR073C	0.713296857373916	2.5693716449426	38.6738398264863	1.65262517043087e-08	4.46137253801165e-08
YLR074C	0.666046787290357	6.81176617508497	128.058753868314	7.79909731145431e-19	4.75882297790891e-18
YLR075W	0.23056848158568	11.736711524463	24.0684878931499	4.24523055799335e-06	9.24022958451885e-06
YLR077W	-0.138130380624939	6.38908238168522	17.2773138722296	0.00191029935451416	0.00318689854862234
YLR078C	-0.359766689571319	5.97676550738337	151.179394375629	2.88708668416974e-15	1.31703530083998e-14
