	rab.all	rab.win.S	rab.win.W	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
YHR189W	-1.07426109220598	-0.968498183575646	-1.23367392189046	-0.379799556763623	1.05529345439207	-0.395973187859401	0.200024397482589	0.17573651430108	0.418756451907428	0.186079545454545	0.404482431201011
YHR190W	3.2396054433018	3.76957353831248	3.05227261998077	-0.802416918430513	0.462957140194873	-1.46295564753591	0.121994904251815	0.0137761718904439	0.0840022129314198	0.045770202020202	0.179751452917093
YHR191C	0.3944437301839	0.31216440023319	0.543693114203569	0.106440329922109	0.651981372901821	0.17079606406384	0.400005424020998	0.591093238878302	0.787607166761337	0.517992424242424	0.773231776830055
YHR192W	0.93540045421395	1.17399967143545	0.807381865944913	-0.321292870310755	0.34687073207643	-0.878691101375949	0.22502052330531	0.095372354268706	0.282980598464278	0.154987373737374	0.382650439280136
YHR193C	4.45450052395446	4.60608499575214	4.31583698974053	0.5394311219074	1.08282717765523	0.48368905690531	0.41463850431674	0.315210440363509	0.580725841141927	0.605587121212121	0.840227958879847
YHR194W	0.929112793203	1.18540352209973	0.782626369416305	-0.379539040528527	0.301313103360217	-1.12159053440748	0.121994904251815	0.0109378149649715	0.0699607343402646	0.0255681818181818	0.115511078104402
YHR195W	1.94359584358188	2.03565380902847	1.70109028010607	-0.326323704425697	0.441746364976077	-0.715242618568967	0.219532473904943	0.104568619763804	0.303695660334575	0.130050505050505	0.345391122607142
YHR196W	-0.767787895038178	-1.11870604388205	0.680543526723719	1.73613742257261	0.721516975751356	1.52215618900391	0.1000577262803	0.0151345894738354	0.0890845414926775	0.022885101010101	0.109742822942557
YHR197W	-0.519527710547107	-0.935601937777285	0.572546568332358	1.44644546092846	0.670823996544996	1.8826211862718	0.0488998634647857	0.00174566933254292	0.0222243294966005	0.00489267676767677	0.0406492790191165
YHR198C	-0.240878283900763	-0.0996248611855632	-0.505615925713067	-0.354687487001932	0.316462428731271	-0.865840651922319	0.121994904251815	0.0463789993174556	0.165413876353088	0.0588699494949495	0.186354706313018
YHR199C	1.74900546479659	2.02507023391192	1.39393603277768	-0.603250362249495	0.499654207189593	-1.08273513490834	0.1000577262803	0.0171864433949359	0.0953138731825856	0.0340909090909091	0.144697616282699
YHR199C-A	-1.58207699305784	-1.55759426357096	-1.59493945652587	-0.560650549570803	1.23553660266532	-0.566701176134371	0.30001239648458	0.238953873699492	0.495237469629585	0.469854797979798	0.724748350710131
YHR200W	2.82377511622615	2.93686192432854	2.52759763805602	-0.341145380026845	0.543802524012468	-0.647855713375418	0.250017353084383	0.158363891730457	0.396071235376885	0.179608585858586	0.428023168363306
YHR201C	1.52507786017209	1.34794952586728	1.7156910150154	0.384527045905551	0.30112559995186	0.9481768278204	0.195145994153606	0.065068657436257	0.224730767705805	0.0542929292929293	0.20039599774814
YHR202W	-0.837103546001399	-0.682345226947679	-1.08248077812321	-0.345046189581139	0.424897081276963	-0.831712149190229	0.146376508331534	0.0610906471740104	0.200961995228133	0.0811237373737374	0.226638646626431
YHR203C	4.74306891183835	5.24776217394902	4.1508807688307	-0.0656898578650669	1.95304365923285	-0.0322073663788353	0.487805482839447	0.911619889533471	0.962241022038959	0.770833333333333	0.913341093158198
YHR204W	1.27211368225541	1.24754296924789	1.3407892967151	-0.0857684413165574	0.67772386945791	-0.0734419717428756	0.463416457194513	0.847268631408015	0.931158584747831	0.969223484848485	0.988525674322284
YHR205W	2.0547173650087	2.01661193688005	2.09304165885816	-0.231713170182594	0.857023291593093	-0.26191098830888	0.39024961754121	0.368225103992493	0.627800251972825	0.63510101010101	0.849776716188644
YHR206W	1.81412768752816	1.77226040037978	2.27267594298709	0.148510225023603	1.06305809804137	0.165316103071158	0.41463850431674	0.889727424235118	0.952327942221464	0.792929292929293	0.922335000809956
YHR207C	0.17964683892018	0.214403281333163	0.160546620999187	-0.0679203629307104	0.384166334287084	-0.139920145831805	0.439027457996833	0.482240337211872	0.707083818244303	0.726641414141414	0.881939015196912
YHR208W	3.96905860853113	3.93159974097914	4.47341642193209	0.452999268888046	0.807093741415557	0.468834756121718	0.268307305172865	0.443091394753795	0.691844448519873	0.337121212121212	0.619398987981438
YHR209W	0.145912024646754	-0.218775338081331	0.541577321958513	0.753291092073098	0.46169038804033	1.84276579366131	0.0246294035019031	0.00325961005934719	0.0329206171815319	0.00426136363636364	0.037732090291145
YHR210C	-0.230167128428644	0.0296148508865546	-0.371513123736596	-0.416631401927767	0.386559414676913	-0.812540868246544	0.170760504996807	0.0703437696510888	0.235164799210092	0.13510101010101	0.342566971641667
YHR211W	0.403861781678281	0.645445248955613	0.154991265283748	-0.440888322497649	0.623457290604388	-0.760104537886949	0.1000577262803	0.0694459911266153	0.234442987531842	0.0607638888888889	0.209258729083575
YHR212W-A	-6.23278457093946	-5.76929366401732	-6.97514495111813	-1.23625312498788	2.2582401237392	-0.484700667791025	0.195145994153606	0.293316944501612	0.506223810913412	0.330808080808081	0.520030682859764
YHR213W	-5.01678784496951	-4.86095278399817	-5.39683706352816	-0.414820244164565	1.62634049773463	-0.267748445968868	0.375006942634908	0.382712299274961	0.61683860513744	0.468592171717172	0.701824304073224
YHR213W-A	-5.23070799781203	-5.17194063506722	-5.47938964398497	-0.461490777674792	1.75539816926453	-0.11613289866845	0.39024961754121	0.43781099814965	0.659127591194382	0.531881313131313	0.737368537591758
YHR213W-B	-4.56179114837839	-4.58445208806509	-4.53221999761896	0.0396462284080066	1.02915693539772	0.0242162199052974	0.487805482839447	0.566576558527907	0.745026369145616	0.672190656565657	0.831048359383878
YHR214C-B	1.08321581232797	0.559037409001869	2.96337919543632	2.19918547763372	0.951329198420397	2.54413759763114	0.00175147641157519	0.00163068148647033	0.0228590074048616	0.00252525252525253	0.0288760999853479
YHR214C-D	-7.72970301549238	-7.84966023590409	-7.51410557009609	0.658062523910075	3.42885378331709	0.19335382425301	0.400005424020998	0.46865743557221	0.670108498505579	0.586332070707071	0.752772973541681
YHR214C-E	-6.48233050505708	-6.91245301372377	-6.17777220086332	0.745013883639266	1.81824650657123	0.376343437973707	0.292695333794382	0.290478639989097	0.485126037842836	0.395833333333333	0.601529561356945
YHR214W	-2.59170900496652	-2.60535560720642	-2.5496762706316	-0.184619156519103	1.35888115505015	-0.100897761845215	0.41463850431674	0.330993501041484	0.587811438683234	0.73800505050505	0.880233767997603
