	rab.all	rab.win.S	rab.win.W	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
tA%28AGC%29K1	-9.45307305607951	-9.64999072425799	-9.27643254028442	0.414691965833881	4.08766625561386	0.0596458980538262	0.45572919188353	0.5028654808268	0.542939999606898	0.570235345709923	0.603603394551148
tA%28AGC%29K2	-9.10302085664029	-9.01810726983764	-9.20369107683033	-0.099218608338659	3.81083241484564	-0.00983733665668239	0.494791669610418	0.451496832954253	0.493778869703978	0.426987775631459	0.464160383880231
tA%28AGC%29L	-8.66070011987848	-8.93543447549343	-8.41677808048486	0.510741643522465	3.84070869894606	0.105539912907612	0.444155875948408	0.401858462489043	0.44094960594122	0.348939512890848	0.388885785590234
tA%28AGC%29M1	-9.40912088684578	-9.506771421369	-9.31224673067846	0.234367629613582	4.21717216613074	0.0625334661081668	0.467532485863235	0.446565415989712	0.489974303905612	0.535038378239435	0.569584406367362
tA%28AGC%29M2	-9.39022489163837	-9.5359573201835	-9.17051363970373	0.369134420260378	4.12559445362634	0.082850913581046	0.464935084746253	0.514548533579396	0.554756323331231	0.417829294562179	0.456949677366686
tA%28AGC%29P	-9.42533802580305	-9.55449651375059	-9.25957043966288	0.141243747459084	3.87843214777381	0.0307187403925247	0.477922090358689	0.524319462301236	0.562682819057028	0.483132040980333	0.519270576545185
tA%28UGC%29A	-8.52960250322678	-8.84412302743329	-8.24261595697673	0.678497257277868	3.72613013965634	0.161650351381279	0.427083375436809	0.333604017969272	0.367217616892559	0.269507119651686	0.304816263040087
tA%28UGC%29E	-8.69802441309002	-8.62951733922573	-8.76830822982427	-0.222009151667383	3.85936075575837	-0.0475802867199741	0.477922090358689	0.50837211297991	0.548624334703298	0.519104856827228	0.55509208144483
tA%28UGC%29G	-9.31548106511789	-9.57471956397718	-9.01788431774551	0.318807404989889	3.85189254490008	0.0766426617187153	0.460937522211308	0.45250689516892	0.488216631367874	0.39407333222343	0.430278983149115
tA%28UGC%29L	-9.25152815043846	-9.15182441711861	-9.3097503131141	-0.246250019427957	4.07323716595152	-0.0533781836545331	0.458333357045458	0.399501671582426	0.444148747082967	0.413228221632286	0.451801590590655
tA%28UGC%29O	-7.68536312446245	-7.42367286857925	-7.93467084391422	-0.649422308523853	3.20015732884737	-0.164552897373485	0.407792261457162	0.363628420345434	0.396006119105491	0.253774743605658	0.283578504413571
tC%28GCA%29B	-9.09036495519304	-9.01891643253612	-9.15843897797224	-0.16621466263429	3.96093391914187	-0.0301469183214008	0.484375008838929	0.565872026931495	0.60373521968778	0.609512910575637	0.643846438531973
tC%28GCA%29G	-9.28499708551925	-9.20755701797686	-9.35227854973608	-0.115705587242633	4.15259599870153	-0.0212551757326033	0.486979174030241	0.502665955836785	0.539653121476941	0.534393804064195	0.571986906699181
tC%28GCA%29P1	-9.1007594081207	-8.98078938502995	-9.20223917018229	-0.194985246432901	3.8534421641972	-0.0444244872206571	0.483116892619525	0.594064226949631	0.63223425631099	0.645476696763563	0.679143929331633
tC%28GCA%29P2	-9.09047751534857	-8.98493146578643	-9.1299295177107	-0.145113739632145	3.98681681099436	-0.0322425494791096	0.480519491488215	0.489902630371479	0.521155217964419	0.454796429608977	0.489067073138517
tD%28GUC%29B	-8.67344585635751	-8.99551831016165	-8.3203207049874	0.432395203517183	3.81645173664738	0.103549875271336	0.440104201008948	0.458775901109515	0.496876475923998	0.399079119705529	0.4337993777233
tD%28GUC%29D	-9.10676388283695	-9.20366534615752	-8.9810503691474	0.161114077702834	3.9563966033596	0.0427558189876647	0.475324689231185	0.483641634016885	0.518469323718952	0.502006700300603	0.533651318114352
tD%28GUC%29G1	-8.24633482185169	-8.46458174540523	-8.07010325632295	0.328333537032832	3.6484248931114	0.0855689262556287	0.462337683632515	0.507921602838292	0.54379085121171	0.520295046921882	0.549640050237138
tD%28GUC%29G2	-8.17410651078221	-8.34122977816137	-8.06703493839903	0.200084613329169	3.47389434441523	0.0579635202810363	0.475324689231185	0.393015672371838	0.433175824378706	0.438268305474478	0.472106789645308
tD%28GUC%29I1	-8.37635537684632	-8.90337834661951	-7.89821718519298	0.835388217866732	3.96322596420098	0.223947780495508	0.371428648830288	0.219811106263387	0.245966729350219	0.181973339900478	0.201845932187728
tD%28GUC%29I2	-8.77156094695685	-8.80294801349063	-8.73448463207208	0.197985818853171	3.92684888615407	0.0500630784536685	0.480519491488215	0.557060561126123	0.598847898480043	0.556864835006653	0.591940885450068
tD%28GUC%29J1	-8.76002643089365	-9.14957047218792	-8.50363367105542	0.463236087546433	3.92701852941441	0.0879370910150786	0.444155875948408	0.437838838175523	0.470622959094989	0.389980728856807	0.41746092364289
tD%28GUC%29J2	-8.96069718663318	-8.9424992618387	-8.99260519064758	-0.0930313322024867	3.92568320127109	-0.0183350736318884	0.492187504416227	0.583497709209633	0.622608671425913	0.585468412355375	0.62197716885371
tD%28GUC%29J3	-8.83738286764238	-9.10492706355623	-8.65052802426388	0.526916391794412	4.02810865521556	0.115636879369216	0.43116887061371	0.362399817805334	0.39904758144512	0.399411474775818	0.429969874007228
tD%28GUC%29J4	-8.90404984420739	-9.03656472749699	-8.72880624021583	0.252237673959606	4.12679397702602	0.0528339890527298	0.471354182908856	0.406985746046518	0.447418443690601	0.40106507902973	0.434472854362139
tD%28GUC%29K	-8.73687408010594	-8.98163394159875	-8.50441376746479	0.476475571252482	3.86927573431401	0.0983290796091183	0.45194807921503	0.530111127436796	0.570466150911169	0.432040517875591	0.464236785407297
tD%28GUC%29L1	-9.19170487736672	-9.22176679250741	-9.11237881754552	-0.0296602253435791	4.03452381605333	-0.00732910032126265	0.497395834805089	0.518887832734716	0.557196326193664	0.521824716215975	0.560437456277812
tD%28GUC%29L2	-9.15975193085402	-9.3737666206941	-8.98221844367711	0.144705835421069	4.09087612193022	0.0335729681059403	0.480519491488215	0.525491927020527	0.56441392209907	0.467436565642779	0.506648260711269
tD%28GUC%29M	-9.0892982996339	-9.44909827204529	-8.85770840827698	0.465699807337182	3.78382243237999	0.0834882574870002	0.438961073796725	0.529012280765822	0.562569544664349	0.443518311112473	0.479523433449029
tD%28GUC%29N	-7.35686961901238	-8.33639943662753	-6.58683355594327	1.63852563332869	3.09231788095888	0.470940990025604	0.288311833315818	0.0108181905575978	0.0148226756867906	0.000779878277952492	0.00122900003804984
tD%28GUC%29O	-6.74708530673902	-7.00662363183541	-6.47848623526906	0.526703207582578	2.94413111730427	0.169434438327789	0.416666715107143	0.215859940482937	0.25698049935527	0.123829201526834	0.152861242001412
tE%28CUC%29D	-9.50556003006678	-9.62308649817805	-9.39857209317702	0.0628776566032565	4.14681408757057	0.0151104950130545	0.494791669610418	0.51194719310485	0.545676656891132	0.525806039809281	0.555485150645651
tE%28CUC%29I	-9.64646476717098	-9.67341345208157	-9.61425772444674	0.0797635494084661	4.2152717195488	0.0130396166005521	0.490909096021754	0.511234878800614	0.553601670686344	0.52421246560841	0.554023120707756
tE%28UUC%29B	-9.03349802988136	-9.07566229144848	-8.98048586312733	-0.0419608741293578	4.01839680393644	-0.0081523934772211	0.498701299431443	0.607589857344019	0.645448915357579	0.683002295166174	0.715552471388259
tE%28UUC%29C	-8.84510180734196	-9.03750051621206	-8.58873647713881	0.38467753899773	4.03049718782325	0.0983126140033786	0.440104201008948	0.425260417970571	0.462738304470429	0.451705665910599	0.481407047843985
tE%28UUC%29E1	-8.56991730867288	-8.76095474019299	-8.41347435536443	0.606878156867036	3.99310420747015	0.119929138266418	0.434895870760785	0.428759642167478	0.470272312663053	0.348388628825974	0.384973764226417
tE%28UUC%29E2	-8.86819824922826	-9.3101645921873	-8.45567089965223	0.883103568878552	3.82399775568491	0.204532332273973	0.402597459517892	0.24535907215136	0.270629198184019	0.25607134319714	0.281497488272926
tE%28UUC%29E3	-8.93628694449847	-9.03437891519546	-8.83597975313687	0.233072952309977	3.69306945971669	0.0525356693944341	0.466145852553757	0.428597056474055	0.466736850719342	0.413594556433882	0.453183520479578
tE%28UUC%29G1	-7.67051640029629	-7.71350988193181	-7.6297156346416	0.139479426480073	3.04655647835818	0.0414089690896129	0.477922090358689	0.565836265563456	0.606301411915531	0.51047870174517	0.550383320766015
tE%28UUC%29G2	-8.9570648056942	-9.00380488978894	-8.89207506184023	0.227148867778125	3.55271714409793	0.049478385624198	0.477922090358689	0.44639179845525	0.478663883059806	0.359691472712409	0.392158476972354
tE%28UUC%29G3	-8.76754215497426	-8.8003591340834	-8.73061342670948	0.168905873213395	3.77371430588328	0.0348632831237732	0.479166678460872	0.483465190200244	0.521706723609574	0.561629364573551	0.59483502049679
