	logFC	logCPM	F	PValue	FDR
YAL015C	-0.793315548131546	6.07146503222533	44.0119834513909	0.00168302105863188	0.020347155579447
YAL016W	-0.205154709213461	7.38148859766747	0.530441085298624	0.478382068690035	0.786239173276047
YAL017W	-0.193905473646903	7.06947076735032	1.83639312405264	0.46415125703128	0.777524242400693
YAL018C	-0.114231480418079	0.115522898543288	0.0626096470728196	0.846770967242508	0.955556976048759
YAL019W	0.569528441407785	6.28093953759272	7.16185514657185	0.0215036239561863	0.13472774255338
YAL020C	-0.657351970253538	6.83703401043122	3.10198314833364	0.0999278506854252	0.374488068450331
YAL021C	-0.0560813111129082	7.6064033041822	0.0261720136428347	0.873783716072802	0.965303630106134
YAL022C	-0.587214534793573	7.00339849651878	5.74524223276712	0.030990735561872	0.176125004484412
YAL023C	-0.0599751696513512	8.75350777588626	0.137148227795958	0.849516214718375	0.956145175524234
YAL024C	-0.169749329905644	5.06857487131386	0.536490679934781	0.506261118765367	0.803921211101729
YAL025C	1.29041923776635	7.05981581003065	21.805369539689	0.000357785354084516	0.00636222323051147
YAL026C	-0.183125059308539	6.96830876230442	1.59386310859732	0.485919188988482	0.791499865318246
YAL027W	0.233625123665391	5.13461126116157	2.58208344490725	0.352382434388574	0.694425988540829
YAL028W	-0.365708626747498	5.96229118283208	4.02232165835693	0.139563790166681	0.452052652283103
YAL029C	0.0748634978435219	7.19105726692366	0.294180537891046	0.77820405832441	0.933531043313599
YAL030W	-0.374148401130305	6.61399532510856	2.44927578449643	0.146426974617896	0.465059265342204
YAL031C	-0.406061903768597	6.66669129165456	1.98250502545416	0.180861436354513	0.518920977353726
YAL032C	-0.426055749070509	6.48820312345301	7.54463586061017	0.0958174924788016	0.364811876272051
YAL033W	0.548467448012519	5.09354989820601	5.99045973471117	0.0295975344419928	0.170867254648379
YAL034C	-0.361841477890785	6.64729049454138	0.914401724728158	0.355109997546177	0.696183293156945
YAL034W-A	-0.170524679018365	4.80709897908249	0.496076185439394	0.520831906505156	0.808474940412955
YAL035W	0.258774886852966	8.81707387038908	1.32082689681518	0.415305716834407	0.740262798835611
YAL036C	0.463335937069233	5.73660415853513	4.89820603502762	0.0553670206078907	0.261896135588849
YAL037C-A	2.50123339049756	2.77369313251034	8.91254702271381	0.00979775757725978	0.0789673812006158
YAL037W	-0.380996974945292	3.28057253061875	3.31797838724978	0.251788717131123	0.600769234339003
YAL038W	0.542731896848099	13.1293536886735	2.60704383218882	0.199095104917076	0.538632915796798
YAL039C	-0.349204883474285	7.98900363199966	1.54730845444965	0.233881594000244	0.580199364552111
YAL040C	0.0864609778459286	7.24030044857632	0.0308450287047929	0.863091942733619	0.962318268379014
YAL041W	-0.130259181178391	6.83780634904554	0.149271642781196	0.705018595507653	0.902271984234181
YAL042W	-0.638119810459789	9.01936253718811	2.70050350368967	0.12249307353398	0.417687919973561
YAL043C	-0.302601876307801	7.04507197653842	2.47456662466811	0.253614828235462	0.602381591698826
YAL044C	0.840585793090004	7.02333055069502	4.72594497775413	0.0472849576426963	0.235136576226421
YAL044W-A	-0.157090847207251	6.00681093962247	1.20845001611367	0.52469543013368	0.810418078499158
YAL046C	-0.575901135294981	5.0092247485237	1.14469696366259	0.302693722435494	0.651436727782275
YAL047C	-0.0255676519967709	4.7195992986289	0.0227805217392912	0.924002742493551	0.980211476507995
YAL048C	0.131952142329932	4.21547183132382	0.139942704111233	0.713921417770994	0.906027739559633
YAL049C	-0.381579709517483	6.50624450213241	3.52514087663094	0.135935737761402	0.445886463291365
YAL051W	-0.0598819656678072	6.08357034243524	0.0816493109364637	0.808637746698818	0.939600422395219
YAL053W	-1.09172962704799	8.89518531590385	20.3821973350977	0.00105996430183261	0.0139879216093506
YAL054C	-0.871708394046823	5.61119144083999	16.6771600607391	0.00110866748140003	0.0145462798933797
YAL055W	-0.505528415107562	5.98899592695459	6.09063110539296	0.0424138601179377	0.21769715971027
YAL056W	-0.492735302016187	7.31481318126075	12.2661991892566	0.0699606172364711	0.29862026817566
YAL058W	0.046204641443653	5.61170868088609	0.127230505420145	0.849684280215299	0.956145175524234
YAL059W	1.38705372667642	5.15266863957001	22.2017261996615	0.000330231570149618	0.00594033949086531
YAL060W	-0.0330887071781815	7.16402550424022	0.00565614162025097	0.941109814347149	0.984430103439939
YAL061W	1.66287003611749	7.21083396060558	82.7320082256229	2.89185682207369e-07	3.58937268755787e-05
YAL062W	-0.630402744077367	5.9677272210127	14.2805431852371	0.0115977916282	0.0878826554879232
